,Query,DocID,Text,Score
13,What part of the body is a growth plate fracture?,416,"Congenital myasthenic syndromes are typically identified at birth. But if signs and symptoms are mild, the condition may not be identified until childhood, or rarely, early adulthood.Droopy eyelids and poor eye control, often with double vision. Difficulty chewing and swallowing. Weakness of facial muscles. Weak cry. Slurring or nasal speech. Delayed crawling and walking. Delayed development of wrist, hand and finger skills, such as brushing teeth or combing hair. Trouble supporting the head in an upright position. Problems breathing, such as feeling short of breath and having short pauses in breathing, sometimes worsened by infection, fever or stress.",1
14,What part of the body is a growth plate fracture?,292,"Signs and symptoms of a ruptured spleen include:Pain in the upper left stomach. Tenderness when you touch the upper left stomach. Left shoulder pain. Confusion, lightheadedness or dizziness.",1
15,What part of the body is a growth plate fracture?,263,"Signs and symptoms of neuroblastoma vary depending on what part of the body is affected.Abdominal pain A mass under the skin that isn't tender when touched Changes in bowel habits, such as diarrhea or constipation",1
16,What part of the body is a growth plate fracture?,1009,"Symptoms of sclerosing mesenteritis include pain in your belly, vomiting, bloating, diarrhea and fever. Sometimes people don't have any symptoms.Mesentery",1
17,What part of the body is a growth plate fracture?,708,"In most cases, seasonal affective disorder symptoms appear during late fall or early winter and go away during the sunnier days of spring and summer. Less commonly, people with the opposite pattern have symptoms that begin in spring or summer. In either case, symptoms may start out mild and become more severe as the season progresses.Feeling listless, sad or down most of the day, nearly every day Losing interest in activities you once enjoyed Having low energy and feeling sluggish Having problems with sleeping too much Experiencing carbohydrate cravings, overeating and weight gain Having difficulty concentrating Feeling hopeless, worthless or guilty Having thoughts of not wanting to live",1
18,What part of the body is a growth plate fracture?,527,"As the disease progresses, Fuchs' dystrophy symptoms, which usually affect both eyes, might include:Blurred or cloudy vision, sometimes described as a general lack of clarity of vision. Fluctuation in vision, with worse symptoms in the morning after awakening and gradually improving during the day. As the disease progresses, blurred vision either can take longer to improve or doesn't improve. Glare, which can decrease your vision in dim and bright light. Seeing halos around lights. Pain or grittiness from tiny blisters on the surface of your cornea.",1
19,What part of the body is a growth plate fracture?,1026,"You might not have symptoms in the early stages of diabetic retinopathy. As the condition progresses, you might develop:Spots or dark strings floating in your vision (floaters) Blurred vision Fluctuating vision Dark or empty areas in your vision Vision loss",1
20,What part of the body is a growth plate fracture?,869,"Symptoms of hemorrhoids usually depend on the type of hemorrhoid.Painless bleeding during bowel movements. You might notice small amounts of bright red blood on your toilet tissue or in the toilet. A hemorrhoid to push through the anal opening, called a prolapsed or protruding hemorrhoid. This may result in pain and irritation.",1
21,What part of the body is a growth plate fracture?,791,"If you have pubic lice (crabs), you may experience intense itching in your genital region. Pubic lice can spread to other areas with coarse body hair, including the:Legs Chest Armpits Beard or mustache Eyelashes or eyebrows, more commonly in children",1
22,What part of the body is a growth plate fracture?,45,"Signs and symptoms of a broken nose include:Pain or tenderness, especially when touching your nose Swelling of your nose and surrounding areas Bleeding from your nose Bruising around your nose or eyes Crooked or misshapen nose Difficulty breathing through your nose Discharge of mucus from your nose Feeling that one or both of your nasal passages are blocked",1
23,What part of the body is a growth plate fracture?,602,"Sleep terrors differ from nightmares. The dreamer of a nightmare wakes up from the dream and may remember details, but a person who has a sleep terror episode remains asleep. Children usually don't remember anything about their sleep terrors in the morning. Adults may recall a dream fragment they had during the sleep terrors.Begin with a frightening scream or shout Sit up in bed and appear frightened Stare wide-eyed Sweat, breathe heavily, and have a racing pulse, flushed face and dilated pupils Kick and thrash Be hard to awaken, and be confused if awakened Be inconsolable Have no or little memory of the event the next morning Possibly, get out of bed and run around the house or have aggressive behavior if blocked or restrained",1
24,What part of the body is a growth plate fracture?,674,"Possible symptoms of mesenteric lymphadenitis include:Pain in the stomach area, often on the lower right side, but the pain can be more spread out. General tenderness of the stomach area. Fever. Enlarged mesenteric lymph nodes.",1
25,What part of the body is a growth plate fracture?,220,"Babies with Rett syndrome usually are born after an uncomplicated pregnancy and delivery. Most infants with Rett syndrome seem to grow and behave as expected for the first six months. After that, signs and symptoms start to appear.Slowed growth. Brain growth slows after birth. Smaller than usual head size (microcephaly) is sometimes the first sign that a child has Rett syndrome. As children get older, there is delayed growth in other parts of the body. Loss of movement and coordination abilities. The first signs often include reduced hand control and a decreasing ability to crawl or walk. At first, this loss of abilities occurs rapidly, and then it continues more gradually. Eventually muscles become weak or stiff, with unusual movement and positioning. Loss of communication abilities. Children with Rett syndrome typically begin to lose the ability to speak, to make eye contact and to communicate in other ways. They may become disinterested in other people, toys and their surroundings. Some children have rapid changes, such as a sudden loss of language. Over time, children may gradually regain eye contact and develop nonverbal communication skills. Unusual hand movements. Children with Rett syndrome usually develop repetitive, purposeless hand movements, which differ from child to child. Hand movements may include hand-wringing, squeezing, clapping, tapping or rubbing.",1
26,What part of the body is a growth plate fracture?,360,"Persistent post-concussive symptoms include:Headaches. Dizziness. Fatigue. Irritability. Anxiety. Trouble falling asleep or sleeping too much. Loss of concentration and memory. Ringing in the ears. Blurry vision. Noise and light sensitivity. Rarely, decreases in taste and smell.",1
27,What part of the body is a growth plate fracture?,451,"Vascular dementia symptoms vary, depending on the part of your brain where blood flow is impaired. Symptoms often overlap with those of other types of dementia, especially Alzheimer's disease dementia. But unlike Alzheimer's disease, the most significant symptoms of vascular dementia tend to involve speed of thinking and problem-solving rather than memory loss.Confusion Trouble paying attention and concentrating Reduced ability to organize thoughts or actions Decline in ability to analyze a situation, develop an effective plan and communicate that plan to others Slowed thinking Difficulty with organization Difficulty deciding what to do next Problems with memory Restlessness and agitation Unsteady gait Sudden or frequent urge to urinate or inability to control passing urine Depression or apathy",1
28,What part of the body is a growth plate fracture?,642,"Signs and symptoms of systemic mastocytosis depend on the part of the body affected by excessive mast cells. Too many mast cells can build up in the skin, liver, spleen, bone marrow or intestines. Less commonly, other organs such as the brain, heart or lungs also may be affected.Flushing, itching or hives Abdominal pain, diarrhea, nausea or vomiting Anemia or bleeding disorders Bone and muscle pain Enlarged liver, spleen or lymph nodes Depression, mood changes or problems concentrating",1
29,What part of the body is a growth plate fracture?,442,"Signs and symptoms of black hairy tongue include:Black discoloration of the tongue, although the color may be brown, tan, green, yellow or white A hairy or furry appearance of the tongue Altered taste or metallic taste in your mouth Bad breath (halitosis) Gagging or tickling sensation, if the overgrowth of the papillae is excessive",1
30,What part of the body is a growth plate fracture?,379,"Symptoms of SCAD can include:Chest pain or pressure. Pain in the arms, shoulders, back or jaw. Shortness of breath. Unusual sweating. Extreme tiredness. Upset stomach. A rapid heartbeat or fluttery feeling in the chest. Feeling dizzy.",1
31,What part of the body is a growth plate fracture?,680,"Symptoms of hearing loss may include:Muffling of speech and other sounds. Trouble understanding words, especially when in a crowd or a noisy place. Trouble hearing the letters of the alphabet that aren't vowels. Often asking others to speak more slowly, clearly and loudly. Needing to turn up the volume of the television or radio. Staying clear of some social settings. Being bothered by background noise. Ringing in the ears, known as tinnitus.",1
32,What part of the body is a growth plate fracture?,962,Symptoms of truncus arteriosus usually occur in the first few days of life. They include:Blue or gray skin due to low oxygen levels. Excessive sleepiness. Poor feeding. Poor growth. Pounding heartbeat. Fast breathing. Shortness of breath.,1
33,What part of the body is a growth plate fracture?,699,"Symptoms of small bowel cancer include:Abdominal pain. Yellowing of the skin and the whites of the eyes, called jaundice. Feeling very weak or tired. Nausea. Vomiting. Losing weight without trying. Blood in the stool, which might look red or black. Watery diarrhea. Skin flushing.",1
34,What part of the body is a growth plate fracture?,1006,"Signs and symptoms of functional neurologic disorder may vary, depending on the type of functional neurological symptoms, and they're significant enough to cause impairment and warrant medical evaluation. Symptoms can affect body movement and function and the senses.Weakness or paralysis Abnormal movement, such as tremors or difficulty walking Loss of balance Difficulty swallowing or feeling ""a lump in the throat"" Seizures or episodes of shaking and apparent loss of consciousness (nonepileptic seizures) Episodes of unresponsiveness",1
35,What part of the body is a growth plate fracture?,584,"A prolactinoma might not cause any signs or symptoms. However, too much prolactin in your blood (hyperprolactinemia) can cause symptoms. So can pressure on surrounding tissues from a large tumor.Irregular menstrual periods or no menstrual periods Milky discharge from the breasts when not pregnant or breastfeeding Painful intercourse due to vaginal dryness Acne and excessive body and facial hair growth",1
36,What part of the body is a growth plate fracture?,2,"Spinal stenosis often causes no symptoms. When symptoms do occur, they start slowly and get worse over time. Symptoms depend on which part of the spine is affected.Numbness Tingling or weakness in a hand, leg, foot or arm Problems with walking and balance Neck pain Problems with the bowel or bladder",1
37,What part of the body is a growth plate fracture?,637,High cholesterol has no symptoms. A blood test is the only way to detect if you have it.Arcus senilis: A sign of high cholesterol?,1
38,What part of the body is a growth plate fracture?,661,"There are different types of Gaucher disease, and signs and symptoms of disease vary widely, even within the same type. Type 1 is by far the most common.Abdominal complaints. Because the liver and especially the spleen can enlarge dramatically, the abdomen can become painfully distended. Skeletal abnormalities. Gaucher disease can weaken bone, increasing the risk of painful fractures. It can also interfere with the blood supply to your bones, which can cause portions of the bone to die. Blood disorders. A decrease in healthy red blood cells (anemia) can result in severe fatigue. Gaucher disease also affects the cells responsible for clotting, which can cause easy bruising and nosebleeds.",1
39,What part of the body is a growth plate fracture?,934,"Explosive eruptions occur suddenly, with little or no warning, and usually last less than 30 minutes. These episodes may occur frequently or be separated by weeks or months of nonaggression. Less severe verbal outbursts may occur in between episodes of physical aggression. You may be irritable, impulsive, aggressive or chronically angry most of the time.Rage Irritability Increased energy Racing thoughts Tingling Tremors Palpitations Chest tightness",1
40,What part of the body is a growth plate fracture?,665,"Shingles symptoms usually affect only a small section on one side of your body. These symptoms may include:Pain, burning or tingling Sensitivity to touch A red rash that begins a few days after the pain Fluid-filled blisters that break open and crust over Itching",1
41,What part of the body is a growth plate fracture?,96,The pain associated with a rotator cuff injury may:Be described as a dull ache deep in the shoulder Disturb sleep Make it difficult to comb your hair or reach behind your back Be accompanied by arm weakness,1
42,What part of the body is a growth plate fracture?,697,"Vitiligo signs include:Patchy loss of skin color, which usually first appears on the hands, face, and areas around body openings and the genitals Premature whitening or graying of the hair on your scalp, eyelashes, eyebrows or beard Loss of color in the tissues that line the inside of the mouth and nose (mucous membranes)",1
43,What part of the body is a growth plate fracture?,46,"The main symptom of transient global amnesia is being unable to create new memories and remember the recent past. Once that symptom is confirmed, ruling out other possible causes of amnesia is important.Sudden onset of confusion that includes memory loss, seen by a witness Being awake and alert and knowing who you are, despite memory loss Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions No signs of damage to a particular area of the brain, such as being unable to move an arm or leg, movements you can't control, or problems understanding words",1
44,What part of the body is a growth plate fracture?,233,Serotonin syndrome symptoms usually occur within several hours of taking a new drug or increasing the dose of a drug you're already taking.Agitation or restlessness Insomnia Confusion Rapid heart rate and high blood pressure Dilated pupils Loss of muscle coordination or twitching muscles High blood pressure Muscle rigidity Heavy sweating Diarrhea Headache Shivering Goose bumps,1
45,What part of the body is a growth plate fracture?,440,"Symptoms of endocarditis can vary from person to person. Endocarditis may develop slowly or suddenly. It depends on the type of germs causing the infection and whether there are other heart problems.Aching joints and muscles Chest pain when you breathe Fatigue Flu-like symptoms, such as fever and chills Night sweats Shortness of breath Swelling in the feet, legs or belly A new or changed whooshing sound in the heart (murmur)",1
46,What part of the body is a growth plate fracture?,563,"If you're allergic to latex, you're likely to have symptoms after touching latex rubber products, such as gloves or balloons. You also can have symptoms if you breathe in latex particles that are released into the air when someone removes latex gloves.Itching Skin redness Hives or rash",1
47,What part of the body is a growth plate fracture?,141,"Farsightedness may mean:Nearby objects may appear blurry You need to squint to see clearly You have eyestrain, including burning eyes, and aching in or around the eyes You have general eye discomfort or a headache after doing close tasks, such as reading, writing, computer work or drawing, for a time",1
48,What part of the body is a growth plate fracture?,830,"Multiple system atrophy (MSA) affects many parts of your body. Symptoms usually start in adulthood, usually in the 50s or 60s.Stiff muscles Difficulty bending your arms and legs Slow movement (bradykinesia) Tremors can occur at rest or when moving your arms or legs Soft voice Problems with posture and balance",1
49,What part of the body is a growth plate fracture?,221,"Parkinson's disease symptoms can be different for everyone. Early symptoms may be mild and go unnoticed. Symptoms often begin on one side of the body and usually remain worse on that side, even after symptoms begin to affect the limbs on both sides.Tremor. Rhythmic shaking, called tremor, usually begins in a limb, often your hand or fingers. You may rub your thumb and forefinger back and forth. This is known as a pill-rolling tremor. Your hand may tremble when it's at rest. The shaking may decrease when you are performing tasks. Slowed movement, known as bradykinesia. Over time, Parkinson's disease may slow your movement, making simple tasks difficult and time-consuming. Your steps may become shorter when you walk. It may be difficult to get out of a chair. You may drag or shuffle your feet as you try to walk. Rigid muscles. Muscle stiffness may occur in any part of your body. The stiff muscles can be painful and limit your range of motion. Impaired posture and balance. Your posture may become stooped. Or you may fall or have balance problems as a result of Parkinson's disease. Loss of automatic movements. You may have a decreased ability to perform unconscious movements, including blinking, smiling or swinging your arms when you walk. Speech changes. You may speak softly or quickly, slur, or hesitate before talking. Your speech may be more of a monotone rather than have the usual speech patterns. Writing changes. It may become hard to write, and your writing may appear small.",1
50,What are the symptoms of a deviated septum?,767,"Symptoms of diabetes insipidus in adults include:Being very thirsty, often with a preference for cold water. Making large amounts of pale urine. Getting up to urinate and drink water often during the night.",1
51,What are the symptoms of a deviated septum?,397,"Dry macular degeneration symptoms usually develop gradually and without pain. They may include:Visual distortions, such as straight lines seeming bent. Reduced central vision in one or both eyes. The need for brighter light when reading or doing close-up work. Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater. Increased blurriness of printed words. Difficulty recognizing faces. A well-defined blurry spot or blind spot in the field of vision.",1
52,What are the symptoms of a deviated septum?,117,Signs and symptoms of cutaneous T-cell lymphoma include:Round patches of skin that may be raised or scaly and might be itchy Patches of skin that appear lighter in color than surrounding skin Lumps that form on the skin and may break open Enlarged lymph nodes Hair loss Thickening of the skin on the palms of the hands and soles of the feet A rash-like skin redness over the entire body that is intensely itchy,1
53,What are the symptoms of a deviated septum?,870,"When the heart beats too fast, it may not pump enough blood to the rest of the body. As a result, the organs and tissues may not get enough oxygen.Sensation of a racing, pounding heartbeat or flopping in the chest (palpitations) Chest pain Fainting (syncope) Lightheadedness Rapid pulse rate Shortness of breath",1
54,What are the symptoms of a deviated septum?,337,"The symptoms of acute coronary syndrome usually begin suddenly. They include:Chest pain or discomfort. This is often described as aching, pressure, tightness or burning. Chest pain also is called angina. Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw. Nausea or vomiting. Indigestion. Shortness of breath, also called dyspnea. Sudden, heavy sweating. Racing heartbeat. Feeling lightheaded or dizzy. Fainting. Unusual fatigue.",1
55,What are the symptoms of a deviated septum?,108,"Signs and symptoms, which usually affect both eyes, may include:A stinging, burning or scratchy sensation in your eyes Stringy mucus in or around your eyes Sensitivity to light Eye redness A sensation of having something in your eyes Difficulty wearing contact lenses Difficulty with nighttime driving Watery eyes, which is the body's response to the irritation of dry eyes Blurred vision or eye fatigue",1
56,What are the symptoms of a deviated septum?,353,"The signs and symptoms of rubella are often difficult to notice, especially in children. Signs and symptoms generally appear between two and three weeks after exposure to the virus. They usually last about 1 to 5 days and may include:Mild fever of 102 F (38.9 C) or lower Headache Stuffy or runny nose Red, itchy eyes Enlarged, tender lymph nodes at the base of the skull, the back of the neck and behind the ears A fine, pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs, before disappearing in the same order Aching joints, especially in young women",1
57,What are the symptoms of a deviated septum?,481,"Babies have been known to fuss and cry, especially during the first three months of life. The range for what's considered typical crying is difficult to pin down. In general, colic is defined as crying for three or more hours a day, three or more days a week, for three or more weeks.Intense crying that may seem more like screaming or an expression of pain Crying for no apparent reason, unlike crying to express hunger or the need for a diaper change Extreme fussiness even after crying has diminished Predictable timing, with episodes often occurring in the evening Facial discoloring, such as skin flushing or blushing Body tension, such as pulled up or stiffened legs, stiffened arms, clenched fists, arched back, or tense abdomen",1
58,What are the symptoms of a deviated septum?,361,"These are smallpox sores on the skin. This photograph was taken in Bangladesh in 1974.Fever Muscle aches Headache Severe fatigue Severe back pain Vomiting, sometimes",1
59,What are the symptoms of a deviated septum?,752,"One to three days before a rash develops, you may show early signs of Stevens-Johnson syndrome, including:Fever A sore mouth and throat Fatigue Burning eyes",1
60,What are the symptoms of a deviated septum?,956,"Heatstroke signs and symptoms include:High body temperature. A core body temperature of 104 F (40 C) or higher, obtained with a rectal thermometer, is the main sign of heatstroke. Altered mental state or behavior. Confusion, agitation, slurred speech, irritability, delirium, seizures and coma can all result from heatstroke. Alteration in sweating. In heatstroke brought on by hot weather, your skin will feel hot and dry to the touch. However, in heatstroke brought on by strenuous exercise, your skin may feel dry or slightly moist. Nausea and vomiting. You may feel sick to your stomach or vomit. Flushed skin. Your skin may turn red as your body temperature increases. Rapid breathing. Your breathing may become rapid and shallow. Racing heart rate. Your pulse may significantly increase because heat stress places a tremendous burden on your heart to help cool your body. Headache. Your head may throb.",1
61,What are the symptoms of a deviated septum?,482,Sometimes it's difficult to recognize the difference between a strong-willed or emotional child and one with oppositional defiant disorder. It's common for children to show oppositional behavior at certain stages of development.Often and easily loses temper. Is frequently touchy and easily annoyed by others. Is often angry and resentful.,1
62,What are the symptoms of a deviated septum?,581,"A heart arrhythmia may not cause any symptoms. The irregular heartbeat may be noticed during a health checkup for another reason.A fluttering, pounding or racing feeling in the chest. A fast heartbeat. A slow heartbeat. Chest pain. Shortness of breath.",1
63,What are the symptoms of a deviated septum?,167,"Symptoms of brucellosis may show up anytime from a few days to a few months after you've been infected. Signs and symptoms are similar to those of the flu and include:Fever Chills Loss of appetite Sweats Weakness Fatigue Joint, muscle and back pain Headache",1
64,What are the symptoms of a deviated septum?,594,"Some signs that you may have compulsive sexual behavior include:You have repeated and intense sexual fantasies, urges, and behaviors that take up a lot of your time and feel as if they're beyond your control. You feel driven or have frequent urges to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or deep regret. You've tried without success to reduce or control your sexual fantasies, urges or behavior. You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress. You continue to engage in sexual behaviors in spite of them causing serious problems. These could include the possibility of getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial issues, or legal problems. You have trouble making and keeping healthy and stable relationships.",1
65,What are the symptoms of a deviated septum?,420,"Left ventricular hypertrophy usually develops gradually. Some people do not have symptoms, especially during the early stages of the condition.Shortness of breath, especially while lying down Swelling of the legs Chest pain, often when exercising Sensation of rapid, fluttering or pounding heartbeats, called palpitations Fainting or a feeling of lightheadedness",1
66,What are the symptoms of a deviated septum?,563,"If you're allergic to latex, you're likely to have symptoms after touching latex rubber products, such as gloves or balloons. You also can have symptoms if you breathe in latex particles that are released into the air when someone removes latex gloves.Itching Skin redness Hives or rash",1
67,What are the symptoms of a deviated septum?,300,"Symptoms of appendicitis may include:Sudden pain that begins on the right side of the lower abdomen. Sudden pain that begins around the navel and often shifts to the lower right abdomen. Pain that worsens with coughing, walking or making other jarring movements. Nausea and vomiting. Loss of appetite. Low-grade fever that may rise as the illness worsens. Constipation or diarrhea. Abdominal bloating. Gas.",1
68,What are the symptoms of a deviated septum?,350,"Small arteriovenous fistulas in the legs, arms, lungs, kidneys or brain often won't have any signs or symptoms. Small arteriovenous fistulas usually don't need treatment other than monitoring by a health care provider. Large arteriovenous fistulas may cause signs and symptoms.Purplish, bulging veins seen through the skin, similar to varicose veins Swelling in the arms or legs Decreased blood pressure Fatigue Heart failure",1
69,What are the symptoms of a deviated septum?,436,"The most common symptom of pneumonitis is shortness of breath, which may be accompanied by a dry cough. If pneumonitis is undetected or left untreated, you may gradually develop chronic pneumonitis, which can result in scarring (fibrosis) in the lungs.Shortness of breath Cough Fatigue Loss of appetite Unintentional weight loss",1
70,What are the symptoms of a deviated septum?,691,"Signs and symptoms of a tooth abscess include:Severe, constant, throbbing toothache that can spread to your jawbone, neck or ear Pain or discomfort with hot and cold temperatures Pain or discomfort with the pressure of chewing or biting Fever Swelling in your face, cheek or neck that may lead to difficulty breathing or swallowing Tender, swollen lymph nodes under your jaw or in your neck Foul odor in your mouth Sudden rush of foul-smelling and foul-tasting, salty fluid in your mouth and pain relief, if the abscess ruptures",1
71,What are the symptoms of a deviated septum?,756,Swimmer's itch symptoms include an itchy rash that looks like pimples or blisters. Symptoms may begin within minutes or as long as two days after swimming or wading in contaminated water.Spending time in water that's infested with certain parasites. Forgetting to dry off with a towel after getting out of the water. Being sensitive to the parasites that cause swimmer's itch.,1
72,What are the symptoms of a deviated septum?,856,"Basal cell carcinoma is a type of skin cancer that most often develops on areas of skin exposed to the sun, such as the face. On white skin, basal cell carcinoma often looks like a bump that's skin-colored or pink.A pearly or waxy bump A flat, flesh-colored or brown scar-like lesion A bleeding or scabbing sore that heals and returns",1
73,What are the symptoms of a deviated septum?,144,"The primary symptoms of fibromyalgia include:Widespread pain. The pain associated with fibromyalgia often is described as a constant dull ache that has lasted for at least three months. To be considered widespread, the pain must occur on both sides of your body and above and below your waist. Fatigue. People with fibromyalgia often awaken tired, even though they report sleeping for long periods of time. Sleep is often disrupted by pain, and many patients with fibromyalgia have other sleep disorders, such as restless legs syndrome and sleep apnea. Cognitive difficulties. A symptom commonly referred to as ""fibro fog"" impairs the ability to focus, pay attention and concentrate on mental tasks.",1
74,What are the symptoms of a deviated septum?,440,"Symptoms of endocarditis can vary from person to person. Endocarditis may develop slowly or suddenly. It depends on the type of germs causing the infection and whether there are other heart problems.Aching joints and muscles Chest pain when you breathe Fatigue Flu-like symptoms, such as fever and chills Night sweats Shortness of breath Swelling in the feet, legs or belly A new or changed whooshing sound in the heart (murmur)",1
75,What are the symptoms of a deviated septum?,294,"The symptoms of glaucoma depend on the type and stage of your condition.No symptoms in early stages Gradually, patchy blind spots in your side vision. Side vision also is known as peripheral vision In later stages, difficulty seeing things in your central vision",1
76,What are the symptoms of a deviated septum?,1062,"Symptoms of a sore throat can vary depending on the cause. Signs and symptoms might include:Pain or a scratchy sensation in the throat Pain that worsens with swallowing or talking Difficulty swallowing Sore, swollen glands in your neck or jaw Swollen, red tonsils White patches or pus on your tonsils A hoarse or muffled voice",1
77,What are the symptoms of a deviated septum?,919,"Symptoms of GI bleeding can be easy to see, called overt, or not so obvious, known as occult. Symptoms depend on the rate of bleeding as well as the location of the bleed, which can be anywhere on the GI tract, from where it starts — the mouth — to where it ends — the anus.Vomiting blood, which might be red or might be dark brown and look like coffee grounds. Black, tarry stool. Rectal bleeding, usually in or with stool.",1
78,What are the symptoms of a deviated septum?,1016,"The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.Burning. Irritation. Stinging. Rawness. Soreness. Sharp or knife-like pain.",1
79,What are the symptoms of a deviated septum?,723,"Traumatic brain injury can have wide-ranging physical and psychological effects. Some signs or symptoms may appear immediately after the traumatic event, while others may appear days or weeks later.Headache Nausea or vomiting Fatigue or drowsiness Problems with speech Dizziness or loss of balance",1
